"no","name","cat","model","qty","cost","price","min"
"0034014","PIN KICK STARTER PAWL (AIT)","General Spare Parts","TVS / Universal","0","425","500","5"
"0034024","PIN GEAR SHIFT PAWL (AIT)","General Spare Parts","TVS / Universal","0","425","500","5"
"0064014","PIN CLUT SPG","General Spare Parts","TVS / Universal","0","425","500","5"
"0080010","AIR CLEANER ASSY","Filters","TVS / Universal","0","5992.5","7050","5"
"0080020","PIPE COMPLETE INTAKE","General Spare Parts","TVS / Universal","0","688.5","810","5"
"0086010","CLAMP OUTLET CARS SIDE","Electrical","TVS / Universal","0","425","500","5"
"0087030","REED VALVE ASSY(ALT)","Engine","TVS / Universal","0","3893","4580","5"
"0087110","GASKET","Engine","TVS / Universal","0","1385.5","1630","5"
"0097030","SWITCH ASSEMBLY IGNITION","Electrical","TVS / Universal","0","3383","3980","5"
"0097050","c D UNIT ASSEMBLY","General Spare Parts","TVS / Universal","0","11679","13740","5"
"0097060","COIL ASSEMBLY IGNITION","Oils & Fluids","TVS / Universal","0","5695","6700","5"
"0098010","SEAL CORD","General Spare Parts","TVS / Universal","0","425","500","5"
"012385800","FRAME ASSY A T","General Spare Parts","TVS / Universal","0","19380","22800","5"
"0124014","RACE STEERING INNER (AIT)","General Spare Parts","TVS / Universal","0","425","500","5"
"0127010","LOCK ASSEMBLY STEERING 1,","General Spare Parts","TVS / Universal","0","561","660","5"
"0130020","COVER COMPSEAT","General Spare Parts","TVS / Universal","0","3638","4280","5"
"0138010","CUSHION","General Spare Parts","TVS / Universal","0","425","500","5"
"0147057","CAP ASSEMBLY FUEL TANK FILLER","General Spare Parts","TVS / Universal","0","3068.5","3610","5"
"0148010","PLUG OIL FILLER","Oils & Fluids","TVS / Universal","0","425","500","5"
"0156187","COVER COMP MUFF TAIL - PL","General Spare Parts","TVS / Universal","0","833","980","5"
"0160040","GRIP COMP THROTTLE","General Spare Parts","TVS / Universal","0","782","920","5"
"0167050","CABLE ASSY THROTTLE","Electrical","TVS / Universal","0","425","500","5"
"0167060","CABLE ASSY STARTER","Electrical","TVS / Universal","0","425","500","5"
"0168530","GRIP L","General Spare Parts","TVS / Universal","0","425","500","5"
"0172038","VR FR CAM (ALTI","Brakes","TVS / Universal","0","425","500","5"
"0174034","PINION SPEEDO METER","General Spare Parts","TVS / Universal","0","782","920","5"
"0178030","O RING BRAKE CAM-BR","Brakes","TVS / Universal","0","425","500","5"
"0181013","HUB REAR XLN QD","General Spare Parts","TVS / Universal","0","7786","9160","5"
"0182018","VR RR 3R CAM","Brakes","TVS / Universal","0","425","500","5"
"0185018","SPACER RR HUB aRG","General Spare Parts","TVS / Universal","0","425","500","5"
"0185028","SPACER RR AXL 'R'","General Spare Parts","TVS / Universal","0","425","500","5"
"0187107","WHEEL RIM PLATED 1.85","General Spare Parts","TVS / Universal","0","7760.5","9130","5"
"0187117","WHEEL RIM 180 X 18 PLATED","General Spare Parts","TVS / Universal","0","7352.5","8650","5"
"0202118","ADJ COMP CHAIN'R'","General Spare Parts","TVS / Universal","0","425","500","5"
"0216017","FENDER COMP FRONT - PLATED","General Spare Parts","TVS / Universal","0","9486","11160","5"
"0218000","GUIDE","General Spare Parts","TVS / Universal","0","425","500","5"
"0227310","LENS RR COMBINATION","General Spare Parts","TVS / Universal","0","425","500","5"
"0227790","FUSE 10 AMPS.","General Spare Parts","TVS / Universal","0","425","500","5"
"0228060","GROM RR COMB LAMP","Electrical","TVS / Universal","0","425","500","5"
"0228070","CUSH HSG HEAD LAMP","Engine","TVS / Universal","0","425","500","5"
"0228510","HSG HEAD LAMP","Engine","TVS / Universal","0","1054","1240","5"
"0230037","PEDAL COMP BR (PL)","General Spare Parts","TVS / Universal","0","2533","2980","5"
"0234038","CAM BRAKE","Brakes","TVS / Universal","0","688.5","810","5"
"0242028","ARM CLUTCH RELEASE","General Spare Parts","TVS / Universal","0","425","500","5"
"0242032","CAP CLUTCH RELEASE ADUST","General Spare Parts","TVS / Universal","0","425","500","5"
"0248010","O RING ENG SPRKT SPACR","General Spare Parts","TVS / Universal","0","425","500","5"
"0249500","OIL SEAL CRANK SHAFT L","Oils & Fluids","TVS / Universal","0","595","700","5"
"0249510","OIL SEAL CRANK SHAFT R","Oils & Fluids","TVS / Universal","0","603.5","710","5"
"0249520","OIL SEAL CLUTCH PUSH ROD","Oils & Fluids","TVS / Universal","0","425","500","5"
"0249530","OIL SEAL DRIVE SHAFT BEARING","Oils & Fluids","TVS / Universal","0","425","500","5"
"0249550","OIL SEAL KICK STARTER SHAFT","Oils & Fluids","TVS / Universal","0","425","500","5"
"0250028","BAR COMP PIL FT REST","General Spare Parts","TVS / Universal","0","399.5","470","5"
"0250040","LEVER ASSEMBLY GEAR SHIFT [NONG]","General Spare Parts","TVS / Universal","0","1691.5","1990","5"
"0252098","WASHER RR (AIT)","General Spare Parts","TVS / Universal","0","425","500","5"
"0254018","PIN RR ROD VR (ALTI","General Spare Parts","TVS / Universal","0","425","500","5"
"0254028","PIN PILFT REST (AIT)","General Spare Parts","TVS / Universal","0","425","500","5"
"0254038","PIN FR.aR.LEVER-BR ZNB","General Spare Parts","TVS / Universal","0","425","500","5"
"0254088","ARRESTER STG STM","General Spare Parts","TVS / Universal","0","612","720","5"
"0254096","PIECE THROTTLE CABLE END","Electrical","TVS / Universal","0","425","500","5"
